title         = ASCII CSV version of worksheet 35, "Nuclear: Consumption" from the 2015 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2015/BP_2015_nuclear_consumption_mtoe.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2015/bp-statistical-review-of-world-energy-2015-workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,4.508,0.421,0.421,0.0,0.0,5.385,0.421,0.0,0.0,0.0,0.006,4.929,0.0,0.871,0.0,5.806,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.239,3.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809,0.006,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.004,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",0.871,"na",0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,"na",0.0,0.001,0.0,5.916,0.467,0.467,0.0,0.0,7.315,0.467,0.0,0.0,0.0,0.084,6.383,0.0,1.315,0.0,7.782,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.363,4.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889,0.084,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.011,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",1.315,"na",0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,"na",0.0,0.021,0.0,7.027,0.51,0.51,0.0,0.0,9.043,0.51,0.0,0.0,0.0,0.192,7.537,0.0,1.823,0.0,9.553,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.661,5.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.192,0.0,0.0,"na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.011,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",1.823,"na",0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,"na",0.0,0.014,0.0,7.817,0.709,0.709,0.0,0.0,10.964,0.709,0.0,0.0,0.0,0.163,8.526,0.0,2.984,0.0,11.673,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.454,0.0,0.0,0.0,0.0,0.018,0.0,0.801,5.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593,0.163,0.0,0.0,"na","na",0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.005,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",2.984,"na",0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,"na",0.0,0.005,0.0,9.588,0.822,0.986,0.0,0.0,13.237,0.822,0.0,0.0,0.0,0.376,10.53,0.0,3.317,0.0,14.223,0.0,"na",0.0,0.12,0.0,0.0,0.0,0.0,1.206,0.0,0.0,0.0,0.0,0.191,0.0,1.122,6.591,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.387,0.212,0.0,0.0,"na","na",0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.014,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",3.317,"na",0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,"na",0.0,0.013,0.0,9.702,0.993,1.289,0.0,0.0,16.207,0.993,0.0,0.0,0.0,1.044,11.259,0.0,5.193,0.0,17.496,0.0,"na",0.0,0.564,0.0,0.0,0.0,0.0,1.469,0.0,0.0,0.0,0.0,0.212,0.0,1.292,5.887,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.732,0.748,0.0,0.0,"na","na",0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.012,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",5.193,"na",0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,11.224,1.219,1.45,0.0,0.0,23.434,1.219,0.0,0.0,0.0,1.837,13.066,0.0,9.981,0.0,24.884,0.0,"na",0.905,0.623,0.0,0.0,0.0,0.0,1.407,0.0,0.0,0.0,0.0,0.581,0.0,2.113,6.234,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.775,1.606,0.0,0.0,"na","na",0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,"na",0.0,0.02,0.0,0.0,0.0,"na",0.0,0.0,0.0,"na",9.076,"na",0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,"na",0.0,0.002,0.0,14.449,2.225,2.48,0.0,0.0,31.649,2.225,0.0,0.0,0.0,2.242,17.486,0.0,14.401,0.0,34.129,0.0,"na",1.517,0.812,0.0,0.0,0.0,0.0,2.155,0.0,0.0,0.0,0.0,1.063,0.0,3.303,6.649,0.0,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.869,1.987,0.0,0.0,"na","na",0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,"na",0.0,0.332,0.0,0.001,0.0,"na",0.0,0.0,0.0,"na",12.884,"na",0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,"na",0.0,0.017,0.0,15.39,3.238,3.766,0.0,0.0,42.078,3.238,0.0,0.0,0.0,2.677,20.047,0.0,23.119,0.0,45.844,0.0,"na",3.236,1.419,0.0,0.0,0.0,0.0,2.739,0.0,0.0,0.0,0.0,1.491,0.0,3.336,6.336,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.0,0.689,2.149,0.0,0.0,"na","na",0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,"na",0.0,0.478,0.0,0.053,0.0,"na",0.0,0.0,0.0,"na",19.883,"na",0.0,0.0,0.0
1974,0.0,0.232,0.0,0.0,"na",0.0,0.033,0.21,18.081,4.856,5.825,0.0,0.0,53.764,4.856,0.0,0.0,0.0,4.732,24.331,0.0,30.293,0.232,59.589,0.0,"na",3.146,1.394,0.0,0.0,0.0,0.0,3.272,0.0,0.0,0.0,0.0,1.631,0.0,3.325,7.608,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0.0,0.737,4.205,0.0,0.0,"na","na",0.0,0.0,0.689,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,"na",0.0,0.465,0.0,0.111,0.0,"na",0.0,0.0,0.0,"na",27.147,"na",0.0,0.0,0.0
1975,0.0,0.518,0.0,0.0,"na",0.0,1.535,0.578,24.486,6.475,8.194,0.0,0.0,74.247,6.475,0.0,0.0,0.0,5.536,32.629,0.0,43.758,0.518,82.441,0.0,"na",2.67,1.668,0.0,0.0,0.0,0.0,5.463,0.0,0.0,0.0,0.0,1.707,0.0,4.13,6.866,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.754,4.913,0.0,0.0,"na","na",0.0,0.0,0.702,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,"na",0.0,2.709,0.0,0.042,0.0,"na",0.0,0.0,0.0,"na",41.088,"na",0.0,0.0,0.0
1976,0.0,0.531,0.0,0.0,"na",0.0,2.271,1.129,28.962,8.633,11.011,0.0,0.0,87.052,8.633,0.0,0.0,0.0,9.034,39.382,0.0,49.116,0.531,98.063,0.0,"na",3.598,1.787,0.0,0.0,0.0,0.0,6.706,0.0,0.0,0.0,0.0,1.71,0.0,3.571,8.182,0.0,0.0,0.0,0.0,0.0,0.0,0.601,0.0,0.859,8.316,0.0,0.0,"na","na",0.0,0.0,0.815,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,"na",0.0,3.619,0.0,0.1,0.0,"na",0.0,0.0,0.0,"na",45.518,"na",0.0,0.0,0.0
1977,0.0,0.366,0.0,0.0,"na",0.0,2.701,1.332,34.709,11.547,13.761,0.0,0.0,107.406,11.547,0.0,0.0,0.0,6.906,48.082,0.0,65.812,0.366,121.167,0.0,"na",6.056,1.826,0.0,0.0,0.0,0.0,9.337,0.0,0.0,0.0,0.0,1.476,0.602,4.07,9.057,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.0,0.763,6.374,0.016,0.0,"na","na",0.0,0.0,0.839,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,"na",0.0,4.507,0.0,0.025,0.0,"na",0.0,0.0,0.023,"na",59.756,"na",0.0,0.0,0.0
1978,0.0,0.648,0.0,0.0,"na",0.0,2.831,1.338,39.077,11.871,15.011,0.0,0.0,125.138,11.871,0.0,0.0,0.0,13.456,52.758,0.0,73.287,0.648,140.149,0.0,"na",7.452,1.81,0.0,0.0,0.0,0.0,9.929,0.0,0.0,0.0,0.0,1.726,0.739,6.899,8.424,0.0,0.0,0.0,0.0,0.0,0.0,0.512,0.0,1.002,11.776,0.526,0.0,"na","na",0.0,0.0,0.803,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,"na",0.0,5.382,0.0,0.004,0.0,"na",0.0,0.0,0.604,"na",65.835,"na",0.0,0.0,0.0
1979,0.0,0.602,0.0,0.0,"na",0.0,2.581,1.398,43.55,13.49,17.465,0.0,0.0,127.28,13.49,0.0,0.0,0.0,16.706,59.163,0.0,68.274,0.602,144.745,0.0,"na",7.5,2.123,0.0,0.0,0.0,0.0,11.783,0.0,0.0,0.0,0.0,1.516,1.525,9.044,8.669,0.0,0.0,0.0,0.0,0.0,0.0,0.531,0.0,1.053,14.018,0.713,0.0,"na","na",0.0,0.0,0.734,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,"na",0.0,4.761,0.0,0.486,0.0,"na",0.0,0.0,1.432,"na",60.774,"na",0.0,0.0,0.0
1980,0.0,0.523,0.0,0.0,"na",0.0,2.84,1.396,50.831,16.727,21.073,0.0,0.0,139.902,16.727,0.0,0.0,0.0,21.91,70.646,0.0,67.897,0.523,160.975,0.0,"na",8.085,3.088,0.0,0.0,0.0,0.0,12.581,0.0,0.0,0.0,0.0,1.174,1.589,13.862,8.379,0.0,0.0,0.0,0.0,0.0,0.0,0.554,0.0,1.107,18.696,0.787,0.0,"na","na",0.0,0.0,0.884,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,"na",0.0,5.995,0.0,1.024,0.0,"na",0.0,0.0,1.855,"na",59.812,"na",0.0,0.0,0.0
1981,0.0,0.63,0.0,0.0,"na",0.0,2.91,2.064,69.365,19.706,25.476,0.0,0.0,163.703,19.772,0.0,0.0,0.0,23.038,92.41,0.0,73.102,0.63,189.179,0.0,"na",8.155,3.273,0.0,0.0,0.0,0.0,14.831,0.0,0.0,0.0,0.0,2.166,3.319,23.837,8.593,0.0,0.0,0.0,0.0,0.0,0.0,0.558,0.0,1.178,19.373,0.655,0.0,"na","na",0.0,0.0,0.779,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,"na",0.0,8.527,0.0,1.161,0.0,"na",0.0,0.0,2.414,"na",64.947,"na",0.0,0.0,0.0
1982,0.0,0.421,0.0,0.0,"na",0.0,3.544,2.432,76.276,22.685,29.607,0.0,0.0,177.837,23.259,0.0,0.0,0.0,28.229,102.766,0.0,76.028,0.421,207.444,0.0,"na",8.676,3.231,0.0,0.0,0.0,0.0,16.844,0.0,0.0,0.0,0.0,1.985,3.796,24.65,9.952,0.0,0.0,0.001,0.0,0.0,0.0,0.488,0.0,2.093,23.88,0.854,0.0,"na","na",0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,"na",0.0,8.837,0.0,1.322,0.0,"na",0.0,0.0,2.961,"na",67.352,"na",0.0,0.0,0.0
1983,0.0,0.762,0.0,0.0,"na",0.0,5.455,2.788,90.128,25.206,34.678,0.0,0.0,198.284,26.092,0.0,0.0,0.0,31.681,119.569,0.0,80.95,0.762,232.962,0.0,"na",11.001,3.349,0.0,0.0,0.0,0.0,17.666,0.0,0.0,0.0,0.0,2.413,4.01,32.648,11.299,0.0,0.0,0.56,0.0,0.0,0.0,0.696,0.0,1.863,24.616,2.029,0.0,"na","na",0.0,0.0,0.754,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,"na",0.0,9.28,0.0,1.392,0.0,"na",0.0,0.0,4.278,"na",69.949,"na",0.0,0.0,0.0
1984,0.0,1.038,0.0,0.0,"na",0.0,6.278,2.882,114.07,32.538,45.319,0.0,0.0,236.326,33.538,0.0,0.0,0.935,37.9,151.547,0.0,89.853,1.41,281.645,0.372,"na",11.816,3.939,0.0,0.0,0.0,0.0,23.609,0.0,0.0,0.0,0.0,5.225,4.27,43.279,12.217,0.0,0.0,0.853,0.0,0.0,0.0,0.914,0.0,1.511,28.678,2.668,0.0,"na","na",0.0,0.0,0.782,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,"na",0.0,11.525,0.0,1.639,0.0,"na",0.0,0.0,5.565,"na",78.037,"na",0.0,0.0,0.935
1985,0.0,1.305,0.0,0.0,0.0,0.0,7.829,2.972,139.377,37.872,52.707,0.0,0.0,282.624,2.11,0.0,0.0,1.266,45.782,181.127,0.0,105.085,2.07,335.331,0.765,0.0,13.696,5.105,0.0,0.0,0.0,0.542,31.376,0.0,0.0,0.0,0.0,6.346,4.283,50.742,13.827,0.0,0.0,1.467,0.0,0.0,0.0,1.02,0.0,1.589,34.384,3.789,0.0,0.0,2.145,0.0,0.0,0.882,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,22.473,0.0,13.253,0.0,2.124,0.0,0.0,0.0,0.0,6.501,12.062,91.389,0.0,0.0,0.0,1.266
1986,0.0,1.292,0.0,0.0,0.0,0.0,8.914,2.732,151.559,36.332,50.747,0.0,0.0,310.524,1.533,0.0,0.0,2.097,51.429,191.675,0.0,114.746,1.324,361.271,0.032,0.0,16.129,5.11,0.0,0.0,0.0,1.391,29.531,0.0,0.0,0.0,0.0,8.477,4.288,57.521,13.37,0.0,0.0,1.68,0.0,0.0,0.0,1.136,0.0,1.982,37.67,6.407,0.0,0.0,2.236,0.0,0.0,0.954,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,23.809,0.0,15.831,0.0,2.652,0.0,0.0,0.0,0.0,6.097,9.664,98.617,0.0,0.0,0.0,2.097
1987,0.0,1.463,0.0,0.0,0.0,0.0,9.496,2.814,156.459,42.685,58.439,0.0,0.0,334.449,1.998,0.0,0.0,1.469,60.523,203.29,0.0,125.923,1.683,392.888,0.22,0.0,17.485,5.206,0.0,0.0,0.0,2.422,32.074,0.0,0.0,0.0,0.0,9.34,4.415,60.091,12.501,0.0,0.0,2.486,0.0,0.0,0.0,1.204,0.0,0.039,42.856,8.897,0.0,0.0,2.078,0.0,0.0,0.804,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,28.217,0.0,15.294,0.0,2.605,0.0,0.0,0.0,0.0,7.497,11.41,108.438,0.0,0.0,0.0,1.469
1988,0.0,1.312,0.0,0.0,0.0,0.0,9.753,3.628,169.159,50.785,67.655,0.0,0.0,360.727,2.025,0.0,0.0,2.5,57.022,223.139,0.0,144.271,1.45,428.382,0.138,0.0,18.754,5.158,0.0,0.0,0.0,2.675,35.491,0.0,0.0,0.0,0.0,11.421,4.395,62.354,14.361,0.0,0.0,3.043,0.0,0.0,0.0,1.375,0.0,0.0,39.591,9.075,0.0,0.0,2.899,0.0,0.0,0.832,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,30.505,0.0,15.711,0.0,2.596,0.0,0.0,0.0,0.0,6.937,16.292,125.517,0.0,0.0,0.0,2.5
